file_id,original_transcript,length,whisper_transcript,WER
844424932919645-1202-f.wav, सुदिर मिश्रा की ये फिर्म लेकिक शर्च चंटर चटोपाध्या के पन्यास देविदास पर आधारित होगी।,92137, सुदिर मिश्रा की ये फिर्म लेकिक शर्च चंटर चटोपाध्या के पन्यास देविदास पर आधारित होगी।,0.0
844424932410060-267-f.wav,खोज कम मांग के लिए इंजन में वेबसाइट पदोन्नति,74304, खोज कम मांग के लिए इंज़ण में वेबसाइट पदोनती,0.2222222222222222
844424930954560-564-f.wav,ट्रेन लक्ष्मीबाई नगर भी नहीं पहुंचती कि लोगों का बतियाना बन्द हो जाता है,92137, ट्रेन लक्षमीबाई नगर भी नहीं पोंषती कि लोगो का बत्याना बंद हो जाता है।,0.42857142857142855
844424930627604-153-f.wav,नई पॉलिसी के तहत एक्सट्रा चार्ज देकर ज्यादा एफएआर भी लिया जा सकता है,138577, नहीं पालिसी के तहत एक्स्टर चार्ज देकर जादा एफायर भी लिया जा सकता है।,0.42857142857142855
844424930966728-564-f.wav,उन्होंने वन मुख्यालय से प्रस्ताव पर अनुमति प्रदान करने का आग्रह किया है,79877, वोनोंने वन मुख्याले से प्रस्ताव पर अनुमती प्रदान करने का आग्रे किया है।,0.38461538461538464
844424932410065-267-f.wav,उषा ने ऑटो चालक को बताया कि उसे भिंड जाना है,73561, उश्या ने ओटो चालक को बताया की उसे बिंड जाना है।,0.45454545454545453
844424932574148-221-f.wav,देश की जनता अपने आप अन्ना की टीम के सवालों का जवाब चुनावों में देगी,109970, देश की जन्ता अपने आप अन्ना की टीम के सवालो का जवाब जुनावों में देगी।,0.26666666666666666
844424930759178-153-f.wav,शासन द्वारा मंजूरी मिलते ही ओपन जेल का निर्माण कार्य शुरू हो गया,78391, शाशण द्वारा मंजुरी मिलते ही अपन जेल का निर्माण कार्वी शुरू हो गया।,0.38461538461538464
844424930929569-1190-f.wav,इसके अलावा गुजरात के अहमदाबाद में आज जगन्नाथ यात्रा निकाली जाएगी,113314, इसके अलावा गुजरात के एहमदा बाद में आज जगर्नात यात्रा निकाली जाएगी।,0.36363636363636365
844424930918882-564-f.wav,अभी यह साफ नहीं है कि किरण नई पार्टी बनाएंगे अथवा नहीं,73189, अबी या साफ नहीं है कि किरन नहीं पार्टी बनाएंगे अथ्वा नहीं।,0.5
844424930966776-564-f.wav,लोग रो रहे थे तो कोई उन्हें ढाढस बंधा रहा था,66874, लोग रोरे थे तो कोई उन्हें धांडस मगा रहा था,0.36363636363636365
844424930898388-574-f.wav,स्वतंत्रता सेनानी अमरनाथ डोगरा को पुलिस के जवानों ने उन्हें अंतिम विदाई दी,138948, स्वतंत्रता सैनानी अमर्नात्दोग्रा को पॉलिस के जवानों ने उन्हे अन्तिम विदाई दी।,0.5384615384615384
844424932919598-1202-f.wav,उन फोटोज में कपिल एक प्यारी सी बच्ची को थामे हुए थे,56471, उन फोटोस में कपेलीक प्यारी सी बच्छी को थामे होय थे।,0.5
844424930927709-574-f.wav,होली के आठ दिन बाद होती है शीतला माता की पूजा,79134, होली के 8 देन बाद हुती है शीत ला माता की पुजा,0.5454545454545454
844424930570555-160-f.wav,आस्था के केंद्र इस मंदिर में लोग प्रतिदिन पूजा करते हैं,85450, आस्था केंद्र इस मंदिर में लोग प्रतिदिन पूजा करते हैं.,0.18181818181818182
844424930570589-160-f.wav,धोनी ने मैदान पर आते ही आक्रामक अंदाज में बल्लेबाजी करनी शुरू कर दी,112199, दोनी ने मैदान पर आते ही आक्रामक अन्दास में बल्ले बाजी करनी शुरू कर दी।,0.35714285714285715
844424930918888-564-f.wav,जिसके लिए उनका देहान्त के बाद तर्पण किया जाता है,73933, जिसके लिये उनका देहन्त के बाद तर्पन किया जाता है।,0.4
844424930560836-620-f.wav,सूर्योदय से पहले उठकर स्नान से निवृत्त होकर पीले रंग के वस्त्र पहनने चाहिए,117400, सुरी ओ दैइ से पहले उटकर स्णान से नवरित होकर पिले रंद के वस्ट्र पानने चाहिये।,0.7857142857142857
844424930547215-497-f.wav,परिणामस्वरूप लोगों को मतदान के प्रति जागरूक करना एक सामाजिक कार्य है,90651, परिनाम स्वरूप लोगों को मद्दान के प्रति जागुप करना एक समाजिक कार्य है।,0.5
844424930708001-153-f.wav,चोर स्टेज से ले उड़ा नोटों से भरा हुआ बैग,91022, चोर इस्तेज से ले उड़ा नोटो से भरा हुआ बैग।,0.3
